order_id,order_date,region,channel,product_category,product,units_sold,unit_price,discount_pct,cogs,customer_segment,revenue,profit,month
ORD1000,2023-01-01,West,Wholesale,Electronics,Product_0,60,94,9,55,Corporate,1964.6,754.6,2023-01
ORD1001,2023-01-02,North,Wholesale,Home Appliances,Product_1,66,87,4,33,Small Business,1131.0,702.0,2023-01
ORD1002,2023-01-03,East,Online,Sports,Product_2,120,466,3,300,Corporate,8854.0,3154.0,2023-01
ORD1003,2023-01-04,West,Online,Sports,Product_3,87,375,0,301,Small Business,17456.25,2707.25,2023-01
ORD1004,2023-01-05,East,Retail,Home Appliances,Product_4,105,10,0,218,Consumer,306.0,-7542.0,2023-01
ORD1005,2023-01-06,West,Online,Furniture,Product_5,70,60,12,271,Corporate,720.0,-2532.0,2023-01
ORD1006,2023-01-07,North,Wholesale,Furniture,Product_6,98,182,5,261,Small Business,7462.0,-3239.0,2023-01
ORD1007,2023-01-08,East,Wholesale,Electronics,Product_7,98,214,6,306,Corporate,3252.8,-2561.2,2023-01
ORD1008,2023-01-09,North,Online,Sports,Product_8,103,269,7,105,Small Business,2743.8,1483.8,2023-01
ORD1009,2023-01-10,North,Wholesale,Sports,Product_9,57,455,7,350,Small Business,4095.0,945.0,2023-01
ORD1010,2023-01-11,West,Wholesale,Clothing,Product_10,129,458,10,114,Consumer,2725.1,1927.1,2023-01
ORD1011,2023-01-12,West,Online,Sports,Product_11,84,378,10,186,Corporate,10054.8,4846.8,2023-01
ORD1012,2023-01-13,West,Online,Electronics,Product_12,108,497,14,317,Consumer,6262.2,1824.2,2023-01
ORD1013,2023-01-14,South,Wholesale,Furniture,Product_13,121,297,1,5,Small Business,9207.0,9052.0,2023-01
ORD1014,2023-01-15,South,Wholesale,Home Appliances,Product_14,61,43,7,323,Small Business,653.6,-5483.4,2023-01
ORD1015,2023-01-16,East,Wholesale,Home Appliances,Product_15,123,357,1,59,Small Business,15940.05,13167.05,2023-01
ORD1016,2023-01-17,South,Retail,Furniture,Product_16,95,104,3,375,Corporate,1414.4,-4585.6,2023-01
ORD1017,2023-01-18,South,Retail,Furniture,Product_17,108,81,0,153,Consumer,384.75,-380.25,2023-01
ORD1018,2023-01-19,East,Retail,Home Appliances,Product_18,77,48,12,313,Consumer,1680.0,-9275.0,2023-01
